patient_id,ref_concepts_found,base_concept_recall,ft_concept_recall,base_rouge_l,ft_rouge_l,base_meteor,ft_meteor,base_bleu_4,ft_bleu_4,base_bertscore_f1,ft_bertscore_f1
BraTS-GLI-00000-000,8,0.375,0.375,0.155,0.189873417721519,0.3229069345308303,0.3169333941323278,0.0610097484801307,0.0887844906895101,0.5433498620986938,0.5813878774642944
BraTS-GLI-00002-000,10,0.2,0.2,0.1400560224089636,0.141643059490085,0.1803365079466515,0.199970046797474,0.0526833464172679,0.0407698725949726,0.5532777905464172,0.5563703179359436
BraTS-GLI-00003-000,6,0.5,0.5,0.150197628458498,0.1321321321321321,0.2164133000138831,0.2394894004113273,0.0139711871030581,0.01239182215798,0.5102947950363159,0.5157625079154968
BraTS-GLI-00005-000,13,0.38461538461538464,0.38461538461538464,0.1714285714285714,0.1803921568627451,0.2539231131267052,0.2513988540073182,0.0310628928643831,0.0350182100693559,0.5142507553100586,0.5197848081588745
BraTS-GLI-00006-000,10,0.2,0.3,0.1621621621621621,0.1618122977346278,0.2609969601256497,0.2203884366394815,0.0150151161511621,0.0146791931709726,0.5603697896003723,0.550688624382019
